,BIC group,Tau,Attention,Change memory,Tau Prior,CE threshold,Strength threshold,Guess,BIC ind.,Part best fit prev,Part best fit new
Baseline,,,,,,,,,77.25,4,4
normative,,1.884,,,,,,,55.36,9,5
normative w. prior,,1.885,,,2.145,,,,56.74,,
LC basic,,1.655,,,,,,,59.58,2,3
LC basic w. prior,,1.676,,,440.576,,,,60.59,1,1
CEA basic,,,,,,0.657,,0.395,58.9,6,
CEA strength sensitive,,,,,,0.523,31.15,0.413,62.06,13,16
Temporal LC,,4.789,,,,,,,60.94,,3
Temporal LC w. prior,,4.349,,,450.478,,,,61.88,,1
TF LC att.,,4.699,0.575,,,,,,52.55,21,
TF LC att. w. prior,,4.197,0.605,,418.317,,,,53.48,4,
TF LC,,5.317,,,,,,,51.81,,22
TF LC w. prior,,4.775,,,449.969,,,,52.55,,5
